 [2009-35-25 06:35, 47472]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447c9f0cd635ad]::executor[ec6558eb012f668400defa1a00000122184524432901b66e]] - 1
 [2009-35-25 06:35, 47480]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447c9f0cd635ad]::executor[ec6558eb012f668400defa1a00000122184524432901b66e]] - 1
 [2009-35-25 06:35, 47481]DEBUG josejamilena.pfc.servidor.tareas.TaskSQL [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447c9f0cd635ad]::executor[ec6558eb012f668400defa1a00000122184524432901b66e]] - Script: ejemplo.sql lanzado: Thu Jun 25 18:35:04 CEST 2009
 [2009-35-25 06:35, 47481]DEBUG josejamilena.pfc.servidor.tareas.TaskSQL [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447c9f0cd635ad]::executor[ec6558eb012f668400defa1a00000122184524432901b66e]] - 3448.0
 [2009-36-25 06:36,103735]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447c9f0cd635ad]::executor[ec6558eb012f6684009df6f10000012218460ea827a9f32a]] - 1
 [2009-36-25 06:36,103743]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447c9f0cd635ad]::executor[ec6558eb012f6684009df6f10000012218460ea827a9f32a]] - 1
 [2009-36-25 06:36,103762]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447e6a43c4b6a9]::executor[ec6558eb012f6684010166320000012218460eca287ca086]] - 1
 [2009-36-25 06:36,103775]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447e6a43c4b6a9]::executor[ec6558eb012f6684010166320000012218460eca287ca086]] - 1
 [2009-36-25 06:36,103792]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447e6a43c4b6a9]::executor[ec6558eb012f6684010166320000012218460eca287ca086]] - 1
 [2009-36-25 06:36,103802]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447e6a43c4b6a9]::executor[ec6558eb012f6684010166320000012218460eca287ca086]] - 1
 [2009-36-25 06:36,103803]DEBUG josejamilena.pfc.servidor.tareas.TaskPLSQL [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447e6a43c4b6a9]::executor[ec6558eb012f6684010166320000012218460eca287ca086]] - Script: ejemplo_1.sql lanzado: Thu Jun 25 18:36:00 CEST 2009
 [2009-36-25 06:36,103803]DEBUG josejamilena.pfc.servidor.tareas.TaskPLSQL [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447e6a43c4b6a9]::executor[ec6558eb012f6684010166320000012218460eca287ca086]] - 6.0
 [2009-36-25 06:36,106333]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447c9f0cd635ad]::executor[ec6558eb012f6684009df6f10000012218460ea827a9f32a]] - 1
 [2009-36-25 06:36,106341]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447c9f0cd635ad]::executor[ec6558eb012f6684009df6f10000012218460ea827a9f32a]] - 1
 [2009-36-25 06:36,106341]DEBUG josejamilena.pfc.servidor.tareas.TaskSQL [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447c9f0cd635ad]::executor[ec6558eb012f6684009df6f10000012218460ea827a9f32a]] - Script: ejemplo.sql lanzado: Thu Jun 25 18:36:03 CEST 2009
 [2009-36-25 06:36,106341]DEBUG josejamilena.pfc.servidor.tareas.TaskSQL [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447c9f0cd635ad]::executor[ec6558eb012f6684009df6f10000012218460ea827a9f32a]] - 2579.0
 [2009-49-25 06:49,     0]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - org.sqlite.JDBC
 [2009-49-25 06:49,  3706]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - jdbc:sqlite:.\estadisticas.db3
 [2009-49-25 06:49,  3758]WARN  josejamilena.pfc.servidor.conexion.Estadisticas [main] - La tabla donde se guardan las estadisticas, ya existe.
 [2009-49-25 06:49,  3911]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-49-25 06:49,  4061]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-49-25 06:49,  4150]INFO  josejamilena.pfc.servidor.tareas.CargarTareas [main] - Programación SQL: ejemplo.sql * * * * *
 [2009-49-25 06:49,  4178]INFO  josejamilena.pfc.servidor.tareas.CargarTareas [main] - Programación PLSQL: ejemplo_1.sql * * * * *
 [2009-50-25 06:50, 65738]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb007259da00b02e7a0000012218520b3b35af964e]::executor[ec6558eb007259da00f6a746000001221852e03f19a3adb2]] - 0
 [2009-50-25 06:50, 65874]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb007259da00b02e7a0000012218520b3b35af964e]::executor[ec6558eb007259da00f6a746000001221852e03f19a3adb2]] - 0
 [2009-50-25 06:50, 66364]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb007259da00b02e7a00000122185207bd5a6cb1e7]::executor[ec6558eb007259da01cde100000001221852e0196eac9807]] - 0
 [2009-50-25 06:50, 66504]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb007259da00b02e7a00000122185207bd5a6cb1e7]::executor[ec6558eb007259da01cde100000001221852e0196eac9807]] - 0
 [2009-50-25 06:50, 66904]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb007259da00b02e7a0000012218520b3b35af964e]::executor[ec6558eb007259da00f6a746000001221852e03f19a3adb2]] - 1
 [2009-50-25 06:50, 67246]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb007259da00b02e7a0000012218520b3b35af964e]::executor[ec6558eb007259da00f6a746000001221852e03f19a3adb2]] - 1
 [2009-50-25 06:50, 67248]DEBUG josejamilena.pfc.servidor.tareas.TaskPLSQL [cron4j::scheduler[ec6558eb007259da00b02e7a0000012218520b3b35af964e]::executor[ec6558eb007259da00f6a746000001221852e03f19a3adb2]] - Script: ejemplo_1.sql lanzado: Thu Jun 25 18:50:07 CEST 2009
 [2009-50-25 06:50, 67248]DEBUG josejamilena.pfc.servidor.tareas.TaskPLSQL [cron4j::scheduler[ec6558eb007259da00b02e7a0000012218520b3b35af964e]::executor[ec6558eb007259da00f6a746000001221852e03f19a3adb2]] - 500.0
 [2009-50-25 06:50, 77507]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb007259da00b02e7a00000122185207bd5a6cb1e7]::executor[ec6558eb007259da01cde100000001221852e0196eac9807]] - 1
 [2009-50-25 06:50, 77773]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb007259da00b02e7a00000122185207bd5a6cb1e7]::executor[ec6558eb007259da01cde100000001221852e0196eac9807]] - 1
 [2009-50-25 06:50, 77776]DEBUG josejamilena.pfc.servidor.tareas.TaskSQL [cron4j::scheduler[ec6558eb007259da00b02e7a00000122185207bd5a6cb1e7]::executor[ec6558eb007259da01cde100000001221852e0196eac9807]] - Script: ejemplo.sql lanzado: Thu Jun 25 18:50:18 CEST 2009
 [2009-50-25 06:50, 77776]DEBUG josejamilena.pfc.servidor.tareas.TaskSQL [cron4j::scheduler[ec6558eb007259da00b02e7a00000122185207bd5a6cb1e7]::executor[ec6558eb007259da01cde100000001221852e0196eac9807]] - 10612.0
